student_id,gender,study_hours_per_day,attendance_percentage,assignment_score,midterm_score,final_exam_score,participation_score,internet_access,extra_classes,parent_education,sleep_hours,overall_score,grade
100000,0,4.54,69.98,36.47,70.7,53.1,17.96,1,0,2,8.09,52.348,1
100001,1,5.26,84.8,34.25,27.92,87.17,11.29,0,1,1,4.73,53.9485,1
100002,0,8.69,73.76,72.29,70.92,99.61,76.1,0,1,3,8.73,82.0375,3
100003,0,4.06,45.0,97.63,31.73,88.85,33.55,0,0,1,8.22,66.411,2
100004,0,8.83,51.13,65.19,78.28,54.23,88.99,0,0,1,8.59,65.6005,2
100005,1,1.79,53.16,33.61,54.26,79.79,58.23,0,0,1,5.43,59.3525,2
100006,0,7.99,55.47,45.49,87.83,67.37,53.07,0,1,0,5.68,65.489,2
100007,0,8.63,73.92,47.14,95.69,85.06,79.55,1,0,2,6.35,78.4685,3
100008,0,2.64,70.24,53.65,56.28,40.72,76.7,0,0,1,5.12,53.746,1
100009,1,4.87,52.19,33.05,59.54,74.67,73.38,1,0,1,6.33,60.1865,2
100010,0,2.49,44.05,93.34,69.26,84.16,72.09,1,1,1,4.05,77.053,3
100011,0,7.36,50.29,66.09,39.78,83.29,56.39,0,1,2,8.39,62.9825,2
100012,0,5.82,99.06,76.97,94.55,97.45,93.38,1,0,3,4.81,92.383,4
100013,0,6.72,68.11,34.7,57.47,34.09,90.16,1,0,0,6.5,49.066,1
100014,1,2.77,92.04,33.79,37.51,54.2,39.65,0,0,0,8.64,48.2745,1
100015,0,2.91,90.93,71.05,82.2,63.36,82.42,1,0,1,8.1,74.271,3
100016,1,1.37,70.69,92.11,41.44,51.68,90.2,0,0,3,7.88,62.959,2
100017,1,3.9,82.4,66.99,35.76,51.69,65.64,0,0,3,7.03,55.2335,2
100018,1,6.04,51.57,91.45,67.22,42.33,60.0,1,0,3,6.18,61.0675,2
100019,0,8.72,81.3,86.77,75.36,86.91,70.47,1,0,3,6.23,81.7895,3
100020,1,7.0,56.34,35.31,67.72,93.56,24.68,1,1,1,4.43,64.84,2
100021,0,4.92,89.92,44.14,74.24,35.76,17.86,0,0,0,4.32,50.682,1
100022,1,9.58,45.02,76.04,33.66,40.84,83.81,1,1,2,8.22,50.8,1
100023,1,7.47,86.39,61.05,60.7,45.99,61.6,0,0,1,6.04,58.2805,2
100024,1,9.37,46.0,50.35,51.78,65.63,21.03,0,0,2,4.27,52.6885,1
100025,1,5.75,92.87,59.3,98.0,85.38,47.47,0,1,0,7.32,80.277,3
100026,1,3.33,58.25,61.16,28.72,35.0,36.84,0,0,1,7.42,41.171,1
100027,1,1.48,79.26,93.74,47.37,74.58,88.79,1,0,1,5.14,73.4985,3
100028,1,7.53,69.25,37.24,95.64,40.45,55.65,1,0,3,6.05,58.0055,2
100029,1,2.09,61.98,49.58,98.76,98.0,61.98,0,1,2,6.87,81.302,3
100030,0,3.72,78.73,67.63,86.87,92.91,31.18,0,1,2,6.98,78.753,3
100031,0,5.79,96.85,78.88,30.7,96.47,81.92,0,0,2,6.56,75.0925,3
100032,1,6.08,42.48,74.14,67.1,37.43,93.71,1,1,3,5.82,58.3225,2
100033,1,6.41,95.13,95.91,55.01,64.16,81.32,1,1,3,4.34,73.0355,3
100034,1,2.5,76.54,85.69,85.48,41.57,54.36,1,1,3,4.11,66.1475,2
100035,0,4.42,88.44,69.0,29.13,72.02,85.16,1,1,3,6.3,63.6495,2
100036,1,6.55,63.03,45.03,39.78,46.29,26.92,1,0,1,5.01,44.1475,1
100037,0,9.73,68.31,61.56,61.69,83.94,20.21,0,0,0,8.69,65.9655,2
100038,0,7.55,92.13,78.54,36.82,75.08,49.44,1,0,0,7.2,65.348,2
100039,0,9.3,64.89,88.66,76.95,70.01,26.34,1,0,0,6.93,70.596,3
100040,0,7.86,72.08,97.18,86.56,87.77,33.32,1,0,2,6.03,82.3355,3
100041,0,6.33,41.21,72.38,77.84,65.02,62.66,1,0,2,5.65,67.08,2
100042,1,2.73,49.52,66.88,58.02,48.89,46.35,1,0,0,4.9,54.5795,1
100043,1,7.0,78.5,31.24,90.88,73.45,87.93,1,1,1,4.3,71.3185,3
100044,1,6.61,83.02,35.05,35.33,96.99,30.31,0,1,3,7.17,61.122,2
100045,1,6.42,74.96,40.93,44.53,72.08,99.71,0,0,0,7.9,62.0135,2
100046,1,5.41,48.6,33.83,61.72,74.07,42.35,1,0,2,8.29,57.2155,2
100047,0,5.76,66.72,58.06,29.6,95.43,56.39,0,0,2,7.62,64.7235,2
100048,1,4.01,61.31,53.58,32.18,66.07,21.91,0,0,3,8.48,50.2075,1
100049,1,5.67,69.74,74.61,54.81,99.75,62.14,1,1,2,8.91,76.725,3
100050,0,2.78,92.22,67.5,95.79,41.18,96.52,1,0,2,8.81,70.7345,3
100051,1,8.25,86.55,71.72,93.13,67.59,77.45,1,1,3,6.96,77.683,3
100052,0,2.67,45.04,63.04,59.95,44.9,31.96,0,0,3,5.12,51.0105,1
100053,1,1.76,93.42,49.44,35.66,61.73,49.84,1,0,0,4.53,54.7345,1
100054,0,4.93,68.31,96.7,38.36,41.94,48.29,0,1,0,8.97,55.269,2
100055,1,6.92,84.63,36.05,53.32,45.58,18.82,1,1,3,5.54,46.838,1
100056,1,4.94,48.4,95.72,40.76,44.76,89.73,0,1,1,4.17,58.813,2
100057,0,3.49,80.24,51.79,31.22,52.4,44.33,1,1,2,5.96,48.96,1
100058,0,6.02,54.18,65.89,75.53,39.42,54.48,0,1,0,7.74,56.7235,2
100059,0,4.12,66.3,37.62,68.61,86.65,36.21,1,1,2,8.45,65.255,2
100060,0,9.4,41.01,34.97,46.85,45.45,23.72,1,0,2,6.39,41.087,1
100061,0,9.3,49.1,60.07,83.42,59.16,91.19,1,1,2,5.47,67.604,2
100062,0,5.52,45.52,81.92,83.2,31.12,13.37,1,1,1,7.89,53.965,1
100063,0,3.95,54.38,48.86,61.83,37.34,45.99,1,0,2,6.52,48.3355,1
100064,0,7.63,46.0,69.36,32.24,92.74,75.76,1,0,2,4.43,66.567,2
100065,1,1.33,81.51,49.51,93.89,88.6,37.8,0,0,0,8.44,76.3155,3
100066,1,5.27,41.74,57.2,75.15,88.86,50.14,0,1,2,7.28,70.5165,3
100067,0,4.03,77.06,93.45,43.53,58.79,60.8,0,1,1,4.18,63.935,2
100068,1,9.28,48.44,89.91,70.78,39.91,99.56,1,0,1,4.05,64.4455,2
100069,1,1.11,96.71,66.12,55.38,37.55,78.25,0,1,2,4.44,57.7075,2
100070,1,5.98,95.99,46.67,72.65,72.39,97.04,1,0,1,8.11,72.136,3
100071,1,7.67,53.53,43.52,60.54,87.97,72.38,0,1,3,6.41,67.2195,2
100072,0,5.37,76.87,96.79,61.41,93.01,34.21,1,0,1,5.68,78.372,3
100073,1,1.77,41.68,44.19,80.19,50.21,35.87,0,1,3,5.25,54.214,1
100074,0,9.75,95.91,86.57,71.03,52.47,84.02,0,1,1,6.53,71.429,3
100075,1,5.66,71.38,55.83,31.0,37.06,48.49,0,1,1,4.42,43.874,1
100076,1,6.53,42.59,99.0,29.9,84.21,43.32,1,0,0,7.09,65.3395,2
100077,1,3.13,60.55,55.77,47.88,49.3,95.06,1,1,2,5.9,55.94,2
100078,0,5.35,44.61,54.61,57.27,63.67,11.19,1,0,0,8.29,53.104,1
100079,1,4.86,63.58,74.62,45.64,95.02,57.25,0,1,3,7.77,71.674,3
100080,0,1.67,80.2,97.31,73.86,82.66,79.76,1,0,0,4.09,82.854,3
100081,1,1.96,68.19,98.33,39.63,33.69,76.26,1,1,0,4.83,55.81,2
100082,0,8.54,63.02,79.5,77.81,30.57,43.08,1,1,1,6.37,56.662,2
100083,1,3.16,47.15,82.82,82.99,85.12,58.21,0,0,3,7.29,77.6395,3
100084,0,2.75,54.7,69.44,34.32,68.68,10.5,1,0,1,7.58,53.026,1
100085,0,5.54,46.01,82.9,73.81,80.42,58.13,1,0,3,8.08,73.5935,3
100086,1,7.92,88.45,90.18,97.11,40.98,63.14,0,0,3,4.25,71.8155,3
100087,0,1.56,48.11,64.03,39.46,91.04,88.73,0,1,1,4.09,68.219,2
100088,1,6.19,75.72,73.39,93.2,84.13,28.97,0,1,2,7.0,77.8925,3
100089,1,2.07,60.56,67.61,70.45,92.36,84.26,0,1,2,7.62,77.9425,3
100090,1,1.33,53.56,69.37,69.32,53.88,74.63,1,0,3,7.93,62.881,2
100091,1,1.47,78.37,92.3,28.89,49.3,69.94,1,0,2,4.78,57.7685,2
100092,1,8.51,67.42,54.89,81.12,40.62,45.49,1,0,1,8.84,56.766,2
100093,1,2.06,64.01,44.57,60.87,95.11,43.07,0,0,1,5.15,68.128,2
100094,1,1.41,75.57,61.94,79.09,42.38,73.29,0,1,1,5.25,61.8795,2
100095,1,4.94,69.48,44.57,85.69,38.35,99.12,1,1,0,4.77,60.619,2
100096,1,8.6,58.21,64.89,64.28,43.49,46.48,1,0,0,4.22,54.7385,1
100097,1,3.36,73.54,93.25,44.77,84.0,92.67,1,0,1,8.05,75.8635,3
100098,1,4.8,80.17,73.22,35.62,92.27,62.79,0,1,3,4.03,70.1395,3
100099,0,1.36,41.6,89.88,37.04,86.76,88.13,0,1,0,6.32,70.575,3
100100,0,5.04,67.95,41.63,90.02,69.43,29.55,1,0,3,4.46,64.8815,2
100101,1,6.2,43.46,93.06,34.27,99.57,78.6,0,0,1,4.22,74.235,3
100102,1,6.14,51.18,72.13,53.85,34.82,85.14,1,0,3,8.67,53.7075,1
100103,1,3.99,73.63,32.22,50.07,90.7,84.9,0,1,1,8.13,66.5595,2
100104,1,3.84,91.97,74.32,89.91,59.94,80.62,0,0,3,5.97,75.5795,3
100105,1,1.96,92.97,96.6,60.83,61.86,37.38,1,1,0,6.29,69.2135,2
100106,1,4.3,44.2,35.54,99.73,38.93,56.98,0,1,3,8.34,55.784,2
100107,1,1.9,65.15,70.77,80.28,32.34,36.97,1,0,1,7.98,55.755,2
100108,1,7.9,74.98,94.08,88.82,52.16,40.87,0,0,2,7.46,70.862,3
100109,0,9.7,48.82,30.68,32.4,42.24,37.11,0,0,2,6.68,37.613,0
100110,1,9.73,85.93,74.16,43.98,63.83,35.58,0,0,0,7.04,60.3185,2
100111,0,8.79,84.65,63.24,35.16,40.31,72.41,1,1,1,5.97,51.2525,1
100112,1,6.41,94.2,54.29,59.77,39.65,68.52,0,0,3,6.64,55.95,2
100113,1,7.31,40.51,73.93,78.87,91.39,28.38,1,1,1,6.7,73.379,3
100114,0,3.57,53.0,33.69,37.68,94.49,72.24,0,1,1,8.32,61.7535,2
100115,1,6.68,89.63,82.71,34.76,97.5,36.2,1,1,0,5.09,71.94,3
100116,0,5.1,80.23,30.31,71.1,77.64,28.15,1,1,3,5.23,61.849,2
100117,1,5.34,93.66,51.49,42.27,83.97,77.25,1,1,1,5.05,67.346,2
100118,1,7.82,43.43,65.28,60.95,88.5,42.66,1,1,2,6.9,67.8775,2
100119,0,3.54,75.82,56.39,28.83,76.12,61.24,1,0,3,7.48,58.8335,2
100120,1,3.86,74.14,51.52,76.05,53.12,28.01,1,0,2,5.19,58.1235,2
100121,0,9.32,42.14,88.16,65.6,40.95,65.23,1,0,2,7.38,59.1015,2
100122,1,1.51,70.81,95.44,73.56,46.61,28.72,0,1,0,7.14,63.7445,2
100123,0,5.37,76.57,91.16,45.66,88.83,25.02,1,0,2,5.61,70.8965,3
100124,0,9.22,51.48,66.57,45.9,78.73,44.79,1,1,2,5.15,61.9715,2
100125,1,6.49,56.4,91.89,85.1,61.91,81.11,1,1,0,8.41,75.0725,3
100126,1,5.92,78.42,94.46,78.89,32.06,25.89,0,0,1,6.85,60.2665,2
100127,0,3.25,68.1,58.65,68.48,48.63,20.53,1,0,1,7.52,54.7335,1
100128,1,4.09,91.48,49.84,72.11,81.02,12.85,1,0,1,8.63,66.7855,2
100129,1,8.67,60.54,36.88,32.05,65.87,47.44,0,0,2,5.03,49.241,1
100130,1,6.03,56.0,63.54,89.21,60.49,35.38,1,0,1,5.75,65.32,2
100131,0,5.63,99.09,96.24,82.74,51.96,36.29,1,1,3,6.17,71.657,3
100132,0,1.9,94.67,69.26,69.29,72.49,98.37,0,1,2,5.16,75.85,3
100133,0,1.14,41.74,76.73,93.89,97.65,27.47,1,1,1,8.2,79.917,3
100134,0,9.67,86.24,37.9,37.65,93.08,51.26,1,1,2,4.42,63.3205,2
100135,0,4.39,46.62,40.05,76.5,32.13,98.77,1,0,3,5.2,52.9195,1
100136,0,6.43,41.65,62.51,97.22,63.67,12.76,1,0,0,4.96,64.5325,2
100137,0,1.72,56.42,96.59,48.25,53.06,72.7,0,1,2,8.77,62.8635,2
100138,0,7.15,56.16,55.25,26.15,65.74,43.4,1,1,0,7.14,50.5525,1
100139,0,9.39,89.16,91.42,80.12,72.43,91.55,0,0,3,7.58,81.7355,3
100140,1,6.18,82.64,38.42,25.52,44.0,92.07,1,0,0,4.54,46.935,1
100141,0,2.14,98.9,73.19,90.44,84.71,44.85,0,1,3,4.97,81.2715,3
100142,1,6.24,82.69,72.04,29.22,63.25,29.93,1,0,0,8.05,55.1125,2
100143,1,7.9,65.1,90.19,73.96,99.44,48.52,0,0,3,6.84,82.694,3
100144,1,4.66,81.94,30.23,53.29,31.76,96.88,0,0,1,4.23,48.3665,1
